gateway pundit,2327,discuss
soon marijuana may lead to ticket not arrest in new york,47,discuss
boko haram denies nigeria claim,2463,discuss
isil beheads american photojournalist in iraq,608,discuss
boko haram ceasefire ignored as violence flares in borno state,1681,discuss
report christian bale just bailed on the steve jobs movie,1157,discuss
insurgents killed in nigeria despite alleged truce with boko haram,1896,discuss
report isis leader abu bakr assassinated in airstrike,394,discuss
islamic state leader family detained by lebanon officials say,703,discuss
moment michael brown was shot dead on audio recording fbi handed potentially damning tape of eleven shots being fired including final volley of shots,32,discuss
canadian official identifies dead ottawa gunman as michael,2246,discuss
apple macbook air details emerge device could be thinner lighter than current model,1362,discuss
islamic state militants allegedly used chlorine gas against iraqi security forces,1590,discuss
abrams asks disney to move up wars the force awakens release date,2084,discuss
nigeria hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,discuss
militant group says it killed american journalist in syria,2495,discuss
hope fades for girls release after boko haram breached,2463,discuss
nasa questions whether crater in nicaragua caused by meteorite,1661,discuss
actor has his testicles stolen after meeting blonde woman at a bar,573,discuss
cbi registers conspiracy case against dera chief after claims 400 male followers were forcibly castrated,2336,discuss
shots heard in alleged brown shooting recording audio,1818,discuss
armed drones spotted flying over syria in possible hunt for isis leader,1509,discuss
isis video america air dropped weapons now in our hands,2168,discuss
two gop congressmen say suspected terrorists caught crossing border,855,discuss
fidel castro death watch rumors heat up cuba denies,1401,discuss
more than 200 kidnapped nigerian girls to be released after deal reached with boko haram,2530,discuss
islamic state claims to have beheaded american journalist,2047,discuss
islamic state releases video apparently showing the beheading of missing us journalist james foley,1471,discuss
lynch mob chop man penis off after catching him allegedly trying to rape teenager,1476,discuss
tropical spider burrowed under bali tourist skin,2293,discuss
high school student scores 72m playing the stock market,1987,discuss
north korean leader kim not missing just having ankle surgery,1081,discuss
reports big bank hank of pioneering rap group sugarhill gang has died,2398,discuss
vice media chief said to pay for dinner for 30,2130,discuss
tropical spider burrowed under man skin through appendix scar and lived there for three days,1602,discuss
north korean leader kim mystery illness actually two broken ankles newspaper says,1081,discuss
bombing had signed my death certificate missing us journalist james wright foley goes unflinching to his death as isis behead him in horrific video as a warning to obama,1093,discuss
has ebola infected isis militants in mosul,1778,discuss
christian bale wo play steve jobs,2455,discuss
islamic state training pilots in military jets monitors say,1115,discuss
expert casts doubt on bunbury man dylan thomas burrowing story,1864,discuss
batman superman batmobile stolen,1528,discuss
video shows isil beheading of photojournalist james foley,694,discuss
staff reporter,707,discuss
reports isis fighters have contracted ebola are says iraqi health ministry,2025,discuss
kim broke both ankles and is hospitalized report claims,1854,discuss
new ios 8 bug can delete all of your icloud documents,2054,discuss
boko haram denies it has agreed ceasefire,2403,discuss
video purports to show beheading of journalist by militants,1471,discuss
jihadi john unmasked islamic state killer named as west londoner mohammed emwazi,1780,discuss
pumpkin spice condoms could be the only thing to save the world from basic children,1400,discuss
dna tests prove lebanon is holding isis chief and daughter after they were caught with fake passports,1004,discuss
cnn airs alleged audio from michael brown shooting,1605,discuss
nigerians doubtful of girls release after boko haram breached,1821,discuss
meteorite strike in nicaragua puzzles experts,715,discuss
no there are any ebola cases in iraq,2003,discuss
was nbc meteorologist mike seidel peeing in the snow on camera a testy brian williams explains,1968,discuss
boko haram agrees to ceasefire release of school girls,2356,discuss
rumor gold apple watch edition priced up to steel version at 500 will debut on 14,2188,discuss
missing planes,1958,discuss
report alleged new audio of michael brown shooting,2235,discuss
video showing american journalist beheaded believed real officials and family say,2388,discuss
tiger woods serving secret ped suspension,757,discuss
this is why rumors that isis is crossing the border into the are going away,108,discuss
nicaragua meteorite experts attempt to understand whether mysterious meteorite fell from passing pitbull asteroid,2154,discuss
you may be able to make appointments at the apple store to try on the apple watch when it launches,2056,discuss
mass graves found in mexico near place where 43 students went missing,366,discuss
jose canseco shoots self in hand,2000,discuss
islamic state leader family detained by lebanon officials say,2268,discuss
senior western intelligence official confirms london rapper abdel majed abdel bary is a suspect in the foley killing,1314,discuss
apple retina macbook air shown in artist renditions,1362,discuss
nun gives birth intends to keep baby,534,discuss
pentagon somali terror group leader killed in airstrike,2374,discuss
iraqi media isis militants have contracted ebola,2138,discuss
macaulay culkin dead,2341,discuss
nigeria claims boko haram will release the kidnapped schoolgirls,2356,discuss
