rebel leader killed in strike somali government,839,agree
ferguson riots audio may have captured michael brown shooting,1715,discuss
thanks uncle sam we have your weapons airdrop isis taunts america over intercepted weapons meant for kurds,2404,discuss
nigeria says it struck a with boko haram but are they talking to the right guy,531,discuss
banksy real identity revealed is the same hoax from last year,1739,agree
james foley american journalist james wright foley beheaded in new isis video breaking news,2067,agree
tropical spider burrows under man skin through scar,1860,agree
bosnia seven underage girls return from five day school trip pregnant,1667,discuss
what was fake on the internet this week obama peace prize condoms and insane winter snow,740,agree
pentagon airstrike killed terror leader in somalia,839,agree
the arrest of the isis leader wife and son,1192,discuss
leader who ordered kenya mall massacre believed killed in us drone attack in somalia,427,discuss
dog abandoned at ayr station with belongings in suitcase,618,agree
nigeria claims boko haram will release the kidnapped schoolgirls,1761,discuss
tiger woods is not on suspension for failing a drug test his agent and a pga official say,757,agree
isis supporters claim us hostage killed in coalition air strike in syria,2376,discuss
is kim jong un sister kim yo jong in charge,817,discuss
nigeria boko haram blamed for raids despite truce claim,922,discuss
horror isis fighters have reportedly contracted ebola,1040,discuss
ypg confirms gill rosenberg not captured in kobani,474,agree
seth rogen to star as steve wozniak in sony steve jobs biopic updated,1575,discuss
isis murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him,1743,discuss
hope fades for girls release after boko haram breached,1588,agree
this dog was left at a railway station with a suitcase of his belongings after he was sold on gumtree,2523,agree
texas plumber is sure how extremists in syria ended up with his work truck,2242,agree
rare meteorite impact causes blast in nicaragua capital managua,1068,discuss
michael brown shooting audio caught on tape,1379,discuss
boko haram claims to have german hostage denies ceasefire,1896,discuss
popular instagram account offers powerful message of perseverance after paris attack,2070,discuss
jordanian airstrike killed american aid worker held hostage by isis according to statement by militants,1337,discuss
airstrike kills islamic al shabab terrorist leader in somalia,1306,agree
video marine survives taliban sniper headshot thanks to helmet,1481,agree
alleged audio of michael brown shooting released,1605,discuss
boko haram denies nigeria claim,2144,discuss
report isis kidnaps former idf soldier who went to fight with the kurds,2471,discuss
how canadian kevin vickers killed shooter in parliament,1900,agree
mexico checks if 43 missing students in mass grave,1109,discuss
ios 8 bug reportedly erases icloud drive documents when settings are reset,545,discuss
confirms earth will experience 6 days of total darkness in december fake news story goes viral,2521,agree
media reports identify londoner as islamic state john,1219,discuss
jeh johnson shoots down duncan hunter assertion is is entering via mexico,2016,agree
chugging eggnog sends utah man to hospital,741,agree
christian bale wo play steve jobs,1215,disagree
awesome canadian parliament kevin vickers takes out gunman,1666,agree
nelson dead guitarist killed by internet death hoax,2186,agree
nigeria announces truce with boko haram fate of schoolgirls unclear,1896,discuss
boko haram denies nigeria claim,2272,agree
search launched for dog owner after pooch found dumped next to suitcase filled with belongings,2483,agree
is the alleged audio of the gunshots that killed michael brown a hoax,2149,discuss
batman superman batmobile stolen,2519,discuss
apple was forced to nix key health features from its smartwatch report,521,discuss
unconfirmed reports claim gill rosenberg captured by isis,1899,discuss
alleged audio of michael brown shooting released,1916,discuss
predator drone reportedly spotted over isis stronghold,2469,discuss
someone painted a graffiti dick on a million car,124,agree
small meteorite strikes nicaragua government says,1913,discuss
apple on macbook air,2039,discuss
islamist militants 11 commercial planes in libya sparking terror attack fears,1958,discuss
after giving a homeless man 100 this guy secretly filmed him,1020,agree
video purports to show beheading of journalist by militants,2388,discuss
lady on fb i 41 intersex and fucked michael phelps on first date,23,discuss
isis getting ebola,2138,disagree
nigeria says ceasefire agreed with boko haram,837,discuss
report nearly a dozen commercial airliners missing ahead of anniversary after islamists overrun libyan airport,1165,discuss
spec leak suggests apple watch will be on par with android wear rivals,1585,discuss
comcast declares war on tor,569,discuss
isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq,368,agree
leader who ordered kenya mall massacre believed killed in us drone attack in somalia,839,discuss
rare meteorite impact causes blast in nicaragua capital managua,966,agree
nigeria says it struck a with boko haram but are they talking to the right guy,2191,discuss
rumor stainless steel apple watch will cost 500 gold,1983,discuss
islamic state accused of using chlorine gas on iraqi soldiers,2224,discuss
in kim jong un absence his sister may rule or not,2313,discuss
isis getting ebola,1778,disagree
pictured heroic 58 walking through parliament gun in hand just moments after he killed gunman michael,2113,discuss
video messaging service verifies timing of cnn audio recording,1379,agree
isis video america air dropped weapons now in our hands,1597,discuss
seth rogen reported to play woz in the upcoming steve jobs movie,1262,discuss
meteorite strike in nicaragua puzzles experts,1722,discuss
wtc rats scare off anna wintour,1149,discuss
sugarhill gang big bank hank dead at 57,2080,agree
tropical spider burrows under man skin lives there for three days,1883,agree
batmobile not stolen mtv contest prize remains unclaimed,1671,discuss
6 islamist militants killed in us attack in somalia,2374,discuss
iphone hit by new social media storm,1867,discuss
no there are any ebola cases in iraq,620,agree
cnn plays alleged recording of michael brown shooting,1715,discuss
apple next macbook could be a macbook air,2497,discuss
is kim sister now the power behind the north korean throne,1836,discuss
misinformation brian williams explains the mike seidel liveshot,1829,disagree
so there might be a rat infestation at vogue,2106,discuss
identity of isis terrorist known as john reportedly revealed,1780,discuss
former porn star behind youtube sensation toy collector makes 5 million per year unboxing disney toys,1315,agree
no saudi tv did blur out michelle obama face when the president met king salman,833,discuss
new york schoolboy who made 72million trading stocks on his lunch breaks and now takes his friends out to dine on 400 caviar drives a bmw and has definitely made his immigrant parents proud,1858,disagree
confirms earth will experience 6 days of total darkness in december fake news story goes viral,506,agree
nun who gave birth to baby boy after suffering agonising stomach pains no idea she was pregnant,899,agree
nicaragua meteorite impact theory may be,1249,discuss
ebola outbreak 2015 update isis fighters may have contracted deadly virus,542,discuss
that was fast christian bale bails on steve jobs biopic,2455,discuss
sugarhill gang rapper big bank hank dies at age 57,2080,agree
us officials video shows american execution,2096,discuss
islamic state claims to have beheaded american journalist,1288,discuss
hbo streaming service could launch in april for 15 per month work on apple tv,727,discuss
woman detained in lebanon is not wife iraq says,931,discuss
led zeppelin reunion robert plant rips up 300 million contract refuses to rejoin legendary band,2489,discuss
moment marine is saved by his kevlar helmet as taliban sniper bullet hits him in head,2360,agree
nigeria says ceasefire agreed with boko haram,1166,discuss
predator drone reportedly spotted over isis stronghold,1657,discuss
is kim jong un sister kim yo jong in charge,689,discuss
spurned wife leaves cheating husband and twin naked in busy car park,1852,agree
report christian bale just bailed on the steve jobs movie,755,agree
big bank hank dead sugarhill gang member and rapper dies aged 57,2351,agree
has ebola infected isis militants in mosul,1891,discuss
rats at vogue nyc offices watch your step anna wintour,1543,discuss
seth rogen to play steve wozniak in steve jobs biopic,712,discuss
quarter pounder looks about the same,559,discuss
mirfield man tears of joy after lost voicemail of wife retrieved,1640,agree
a message from jim mom diane foley,2450,agree
is the alleged audio of the gunshots that killed michael brown a hoax,1692,discuss
the apple watch has a mode that only tells the time,2124,discuss
small meteorite strikes nicaragua government says,885,discuss
isis claims an american hostage kayla mueller died in airstrike in syria,2376,discuss
isis leader in us airstrikes,1254,discuss
islamic state may have fighter jets now after seizing migs,950,discuss
yes you can wear your apple watch in the shower,2472,discuss
cnn expert on brown audio at first i thought trying to punk cnn,1776,agree
who says reports of suspected ebola cases in iraq are untrue,1506,discuss
isil allegedly kills us journalist in video,2386,discuss
hairgate trends on social media iphone 6 users complain of ripped out hair,2476,discuss
nigeria says it struck a with boko haram but are they talking to the right guy,308,discuss
an audio recording of the michael brown shooting has reportedly surfaced,2250,discuss
continuing violence puts boko haram ceasefire in jeopardy,1340,discuss
dera sacha sauda chief forced castration of 400 devotees cbi files case against the messenger of god actor,1654,discuss
islamic militants post video claiming to show beheading of journalist,2147,discuss
boogie developer leaves secret resignation letter to boss at the end of the game video,2458,agree
elderly woman arrested for kidnapping neighbor cats making fur coats,529,agree
heartwarming video shows son revealing he paid off parent mortgage as a christmas gift,888,agree
boko haram denies truce to release kidnapped schoolgirls,2139,agree
new rumour suggests apple watch to launch in february,2401,discuss
thanks uncle sam we have your weapons airdrop isis taunts america over intercepted weapons meant for kurds,2295,discuss
says she aborted baby because it was a boy,1494,agree
7 teen girls get pregnant on school trip read more at http,2125,disagree
isis video america air dropped weapons now in our hands,2172,discuss
what was fake on the internet this week obama peace prize condoms and insane winter snow,1060,discuss
comcast turns complaints back on customer gets his employer to fire him,2438,discuss
caught a catfish record in po 127 kg and meters,1338,agree
turkish president says american weapons drop for kurdish fighters was after supplies end up in the hands of isis,781,agree
china satirical site warns citizens over name choices,1660,disagree
amazon reportedly planning an video service that will be cheaper than netflix,1048,discuss
new york city plans to end arrests for possession of small amounts of marijuana,2389,discuss
isis claims it has us airdrop of weapons,1485,discuss
christian bale wo play steve jobs after all,1841,agree
watch isis claims to have captured airdropped weapons,1361,discuss
boko haram denies nigeria claim,2356,discuss
missing american journalist reportedly beheaded by islamic state,1580,discuss
bombing had signed my death certificate missing us journalist james wright foley goes unflinching to his death as isis behead him in horrific video as a warning to obama,2096,discuss
josh paler lin gives a homeless man 100 and follows him to see how he spends it,1388,discuss
that story about a catholic priest dying seeing god as a woman and coming back to life it almost definitely fake,2515,disagree
lynch mob castrates alleged rapist in rajasthan,214,discuss
cnn plays chilling audio recording allegedly from michael brown shooting least 11,1605,discuss
isis beheading of journalist james foley posted to youtube,1747,agree
founding time capsule found in boston,1997,discuss
audio recording allegedly captures moment michael brown was shot,2220,discuss
banksy real identity revealed is the same hoax from last year,2468,agree
christian bale wo play steve jobs after all,1299,agree
cnn plays alleged recording of michael brown shooting,2287,discuss
isis claims it has us airdrop of weapons,2397,discuss
islamic state may have fighter jets now after seizing migs,1606,discuss
a message from jim mom diane foley,2047,discuss
video shows isil beheading of photojournalist james foley,1016,agree
report of kim ankle injury add fuel to rumours about his absence,2153,discuss
kim to open a new restaurant in scotland,1222,discuss
fears journalist james wright foley beheaded by islamic state jihadists in to united states,1580,discuss
tropical spider burrows under man skin lives there for three days,1860,agree
sugarhill gang rapper big bank hank dies at age 57,1556,discuss
report jetliners stolen from libya could be used to attack on,1197,discuss
apple watch pricing will you spend 5000 for gold edition 500 for stainless steel,577,discuss
north korean leader kim mystery illness actually two broken ankles newspaper says,856,discuss
