police find mass graves least bodies near mexico town students disappeared police clash,712,unrelated
hundreds palestinians flee floods gaza israel opens dams,158,agree
christian bale passes role steve jobs actor reportedly felt right part,137,unrelated
hbo apple talks apple tv streaming service launching april,1034,unrelated
spider burrowed tourist stomach chest,1923,disagree
confirms earth experience days total darkness december fake news story goes viral,154,agree
accused boston marathon bomber severely injured prison may never walk talk,962,unrelated
identity isis terrorist known john reportedly revealed,2033,unrelated
banksy real identity revealed hoax last year,1739,agree
british aid worker confirmed murdered isis,882,unrelated
gateway pundit,2327,discuss
woman detained lebanon wife iraq says,1468,agree
kidnapped nigerian schoolgirls government claims ceasefire deal boko haram bring missing girls home,1003,unrelated
high school kid make million trading stocks,2132,unrelated
soon marijuana may lead ticket arrest new york,47,discuss
vandals add rude paint job bugatti luckily owner turned hoax,615,unrelated
boko haram denies nigeria claim,2463,discuss
robert plant rip million contract,295,agree
korea kim leg injury control,570,unrelated
isil beheads american photojournalist iraq,608,discuss
tropical spider burrows man skin scar,1500,unrelated
boko haram ceasefire ignored violence flares borno state,1681,discuss
nbc tom brokaw reportedly wants brian williams fired fabricated iraq helicopter story,1545,unrelated
would take bite world oldest burger men keep quarter pounder bought years ago friend never showed meet,1196,unrelated
net extra catholic priest claims god female,1014,agree
rumor debunked robots patrolling microsoft campus,633,agree
luke somers dies rescue attempt sister says yemeni defense ministry says unnamed us hostage freed,56,unrelated
christian bale exits steve jobs movie exclusive,1658,unrelated
microsoft tried robot security guards silicon valley campus,2327,unrelated
report christian bale bailed steve jobs movie,1157,discuss
islamic militants post video claiming show beheading journalist,132,unrelated
insurgents killed nigeria despite alleged truce boko haram,1896,discuss
texas turkey farm contaminated ebola holiday turkeys infected,2344,unrelated
see isis militants caught trying cross border texas congressman claims,625,unrelated
thanks uncle sam weapons airdrop isis taunts america intercepted weapons meant kurds,2176,unrelated
report isis leader abu bakr assassinated airstrike,394,discuss
fisherman lands stone catfish could biggest world hooked,2161,agree
rapist penis severed angry mob,1040,unrelated
michael ottawa shooter suspect identified canadian officials,1251,unrelated
taylor lianne chandler michael phelps cougar girlfriend revealed,1337,unrelated
cbs detroit fan site enough publish batmobile rumor,280,unrelated
nasa questions whether crater nicaragua caused meteorite,534,unrelated
seth rogen woz,213,unrelated
story catholic priest dying seeing god woman coming back life almost definitely fake,1299,unrelated
experts facts needed purported audio recording michael brown shooting,1481,unrelated
catholic priest dead minutes miraculously revived revelations god even shocking,289,unrelated
student accidentally sets college fire fireworks proposal,1592,agree
planetary alignment jan decrease gravity minutes causing partial weightlessness,2248,unrelated
rumors isis leader death debunked,1255,unrelated
instagram tribute charlie hebdo victims posted artist,1120,unrelated
boko haram ceasefire ignored violence flares borno state,2045,unrelated
breaking news isis beheads missing american journalist james wright foley warning us cease action iraq,2296,unrelated
nigeria boko haram ceasefire girls release,459,unrelated
pope francis turns made pets heaven comment,1905,disagree
british rapper suspect isis beheading,2295,unrelated
macaulay culkin died despite everyone saying facebook,759,agree
husband breaks tears lost voicemail message late wife recovered,2406,unrelated
bali awry,181,unrelated
islamic state leader,2036,unrelated
contest leads hospital stay,941,unrelated
tiger woods selling island lake,965,disagree
gold apple watch edition must cost,816,unrelated
rapist penis severed angry mob,2106,unrelated
anna wintour rat infestation nyc office kim kardashian fault,367,unrelated
updated men women tonight espn domestic violence panel,373,unrelated
amazon first store said open manhattan,1934,unrelated
kim take kim jong un role north korea ill health rumors,1500,unrelated
islamic state leader family detained lebanon officials say,703,discuss
us confirms death somalia terror group leader,167,unrelated
durex making pumpkin spice condoms hoax debunked,1175,unrelated
islamic state beheads missing american journalist james wright foley,1034,unrelated
spider burrows australian man appendix scar video,724,unrelated
indian civil servant sacked sickie,2441,agree
batmobile stolen cops,1338,unrelated
michael brown shooting audio caught tape,2248,unrelated
breaking news isis beheads missing american journalist james wright foley warning us cease action iraq,1040,unrelated
biological warfare horizon isis soldiers may infected ebola,527,unrelated
moment michael brown shot dead audio recording fbi handed potentially damning tape eleven shots fired including final volley shots,32,discuss
saudi fatwa banning snowmen triggers heated debate,26,unrelated
paul rudd viral video hero tackled gay basher dallas,487,unrelated
soldier gunman killed shooting incident near canadian parliament,1089,agree
everyone chill banksy arrested,1898,unrelated
update soldier gunman died ottawa rampage identified,205,unrelated
new audio shows michael brown shot times,1435,unrelated
islamic state militants caught border patrol,190,unrelated
report audio reveals pause gunshots michael brown shot,1808,unrelated
canadian official identifies dead ottawa gunman michael,2246,discuss
mystery woman behind hands internet revealed former pornstar year unwrapping disney toys youtube,1315,agree
apple macbook air details emerge device could thinner lighter current model,1362,discuss
jihadi john identity revealed mohammed emwazi live,2033,unrelated
militant john named mohammed emwazi london,472,unrelated
wife son isil leader abu bakr lebanon border,1125,unrelated
islamic state militants allegedly used chlorine gas iraqi security forces,1590,discuss
former pga tour player tiger woods suspended drug test failure,2240,unrelated
zack snyder responds fake stolen batmobile report,702,unrelated
ottawa investigates reports isis captured woman,1165,unrelated
priest died minutes says met god woman,1720,unrelated
mum faces sophie choice tries sell son fund daughter care,1358,unrelated
fidel castro dead yes cuban leader alive death rumors proven false,1832,unrelated
cnn broadcasts purported audio containing gunshots felled michael brown leaders celebrities fill pews teen funeral,346,unrelated
magic mushrooms found buckingham palace alan titchmarsh,1374,unrelated
video showing american journalist beheaded believed real officials family say,2404,unrelated
canadian soldier shot ottawa war memorial report,1744,unrelated
audio recording allegedly captures moment michael brown shot,1832,unrelated
kim open new restaurant scotland,1406,unrelated
new audio reveals pause gunfire michael brown shot attorney,1818,agree
tripoli planes still missing sparks concerns,1958,agree
nypd issue tickets instead arrest weed possession report says,775,unrelated
india rape crisis sees mob castrate alleged sex attacker shocking scenes,2115,agree
michael phelps alleged girlfriend says born intersex,1849,unrelated
seth rogen reported play woz upcoming steve jobs movie,1966,unrelated
texas plumber truck end syrian rebels,2174,unrelated
nigeria announces truce boko haram fate schoolgirls unclear,992,unrelated
islamic state beheads missing american journalist james wright foley,2526,unrelated
scientists doubt meteor caused crater nicaragua,731,unrelated
christian bale talks play steve jobs sony next biopic,2097,unrelated
nigeria says boko haram may lead release kidnapped girls,2045,unrelated
calm durex come pumpkin spice condom,1212,unrelated
islamic state flying three jets syria monitor,777,unrelated
abrams asks disney move wars force awakens release date,2084,discuss
kim relying wine problems trouser snake,213,unrelated
nigeria hopes return kidnapped schoolgirls rise ceasefire reported,922,discuss
former soldier says used chemical weapons kobani,1758,unrelated
north korean dictator kim open restaurant scotland,2132,unrelated
eyewitness says viral video homeless man staged,1681,unrelated
new audio shows michael brown shot times,900,unrelated
meteorite strike nicaragua puzzles experts,40,unrelated
hunt owner abandoned dog train station,36,unrelated
met police denies reports banksy arrest,949,agree
video marine saved helmet taliban sniper attack,488,agree
militant group says killed american journalist syria,2495,discuss
rare case seven bosnian girls aged fall pregnant school trip parents outraged school cites neglect,821,unrelated
isis claims kidnapped gill rosenberg first western woman fall group hands,1628,unrelated
tbs seinfeld reruns tell us sorry state america,2237,unrelated
islamic state claims beheaded american journalist,1385,unrelated
boko haram doubts attacks reported nigeria,1125,unrelated
us probing claims isis fighters seized airdropped weapons meant kurds,2448,unrelated
meteorite mysterious boom nicaragua,345,unrelated
michael slain ottawa shooter criminal record quebec,2087,unrelated
hope fades girls release boko haram breached,2463,discuss
isis cracks five confirmed ebola cases among fighters official,2045,unrelated
nasa questions whether crater nicaragua caused meteorite,1661,discuss
fears islamic state could launch ebola attack britain fighters virus,1899,unrelated
court orders probe complaints castration religious sect,1048,unrelated
saudi arabian cleric issues fatwa snowmen,35,unrelated
actor testicles stolen meeting blonde woman bar,573,discuss
michael phelps alleged girlfriend says born intersex,618,unrelated
report possible audio tape michael brown shooting,321,unrelated
amazon plans video streaming service ny post,887,unrelated
cbi registers conspiracy case dera chief claims male followers forcibly castrated,2336,discuss
shots heard alleged brown shooting recording audio,1818,discuss
armed drones spotted flying syria possible hunt isis leader,1509,discuss
oh hey paul rudd one dallas airport homophobe heroes big,119,unrelated
tourist wakes find strange red trail stomach discovers spider burrowed appendix scar crawled skin holiday bali,2045,unrelated
isis video america air dropped weapons hands,2168,discuss
vice ceo throws lavish vegas dinner,1547,unrelated
glenn beck fears may done missing jets,176,unrelated
two gop congressmen say suspected terrorists caught crossing border,855,discuss
iphone users encounter latest apple problem,689,unrelated
banksy giant hoax repeat hoax,2342,unrelated
judicial watch farrell isis terrorists cross mexican border,2132,unrelated
open first physical store manhattan dj,2477,unrelated
lynch mob castrates alleged rapist rajasthan,2149,unrelated
vogue rat infestation disturbing new details,2064,agree
feminist aborts baby boy shocked people approve,1363,unrelated
return mac seth rogen talks star apple steve wozniak upcoming steve jobs biopic,115,unrelated
rebel leader killed strike somali government,313,disagree
islamic militants post video claiming show beheading journalist,472,unrelated
video marine survives taliban sniper headshot thanks helmet,2046,agree
new ios bug delete icloud documents,139,unrelated
wildest apple watch rumor yet apps launch,986,unrelated
stopped shooter parliament hill,1568,unrelated
weather reporter caught writing name snow ready go camera updated,975,disagree
cheese addiction breaks kim ankles,2210,unrelated
popwatch teenager fights right recognized teletubbies smiling,2081,unrelated
isis cracks five confirmed ebola cases among fighters official,1438,unrelated
media outlets identify john,2531,unrelated
abrams asks disney move wars force awakens release date,808,unrelated
iphone game developer quits job hiding greatest letter resignation ever inside game,125,unrelated
lego letter parents gender equality still resonates years,1547,agree
fidel castro death watch rumors heat cuba denies,1401,discuss
christian bale wo play steve jobs,687,unrelated
suspected meteorite leaves crater managua linked asteroid,1627,unrelated
kim dine porky president kim open uk restaurant serving dog,2290,unrelated
canadian soldier shot ottawa war memorial report,2307,unrelated
ate ceilings pooped keyboards rats vogue new world trade center office anna wintour longer wants work,320,unrelated
mexico prosecutor students mass graves,1948,unrelated
audio recording allegedly captures moment michael brown shot,1720,unrelated
moscow police looking felon cut male genitals,271,unrelated
lego letter still offers powerful message parents years later,1169,unrelated
isis leader abu bakr son detained lebanon,254,unrelated
investigates media reports isis fighters contracted ebola,1574,unrelated
rumor robert plant ripped million contract reunite led zeppelin called,2133,unrelated
michelle obama face blurred saudi state television,1242,unrelated
kidnapped nigerian girls released deal reached boko haram,2530,discuss
islamic state militants claim beheaded us journalist james wright foley,1982,unrelated
islamic state killer john named mohammed emwazi,1107,unrelated
brian williams demands apology social media erroneous urination reports video,775,unrelated
pentagon isis seized materials airdropped kurds,1627,unrelated
new policy could reduce marijuana possession arrests,296,unrelated
nbc nightly news go live man taking piss,1786,unrelated
