hundreds of palestinians flee floods in gaza as israel opens dams,158,agree
confirms earth will experience 6 days of total darkness in december fake news story goes viral,154,agree
banksy real identity revealed is the same hoax from last year,1739,agree
woman detained in lebanon is not wife iraq says,1468,agree
no robert plant did rip up an 800 million contract,295,agree
net extra catholic priest claims god is a female,1014,agree
rumor debunked robots are not patrolling microsoft campus,633,agree
fisherman lands 19 stone catfish which could be biggest in world to be hooked,2161,agree
student accidentally sets college on fire during fireworks proposal,1592,agree
macaulay culkin has died despite what everyone is saying on facebook,759,agree
indian civil servant sacked sickie,2441,agree
soldier gunman killed in shooting incident near canadian parliament,1089,agree
mystery woman behind the hands on the internet revealed former pornstar 5m a year unwrapping disney toys on youtube,1315,agree
new audio reveals pause in gunfire when michael brown was shot attorney,1818,agree
11 tripoli planes still missing sparks concerns,1958,agree
india rape crisis sees mob castrate alleged sex attacker in shocking scenes,2115,agree
met police denies reports of banksy arrest,949,agree
video marine saved by helmet after taliban sniper attack,488,agree
vogue rat infestation disturbing new details,2064,agree
video marine survives taliban sniper headshot thanks to helmet,2046,agree
lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree
after giving a homeless man 100 this guy secretly filmed him,2061,agree
british hostage david haines beheaded by islamic state terrorists,2206,agree
woman ting su finds husband cheating with her own twin gets spectacular revenge,1058,agree
jeh johnson politicians should the flames of fear over isis ebola,666,agree
isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq,1580,agree
despite no ebola case in kansas city the rumor goes viral,1943,agree
bugatti veyron vandalized with penis graffiti viral photo is what it seems,1148,agree
man who skipped work for 24 years is finally fired,1951,agree
michael phelps alleged girlfriend says she was born intersex,1349,agree
scientists doubt that meteor caused crater in nicaragua,2475,agree
urgent isis kills 300 iraqi soldiers by chlorine gas attack in saqlawiyah,969,agree
no that high school kid did make 72 million trading stocks,2407,agree
pentagon confirms leader killed in airstrike in somalia,1084,agree
pictured libyan islamist rebels pose with planes seized from tripoli airport as officials warn they could be used to carry out terrorist attack on anniversary,1958,agree
mum offers to sell twin boy to save twin girl,1627,agree
cold turkey,1949,agree
soldier shot at war memorial multiple shots fired in parliament,2156,agree
isis executioner john identified as mohammed emwazi,1374,agree
god is a woman resurrected father narated,1849,agree
matt taibbi on leave of absence from first look media,879,agree
managua explosion not a meteorite nasa suggests,1213,agree
