headline,Body ID,Stance
police find mass graves with at least bodies near mexico town where 43 students disappeared after police clash,712,unrelated
hundreds of palestinians flee floods in gaza as israel opens dams,158,agree
christian bale passes on role of steve jobs actor reportedly felt he was right for part,137,unrelated
hbo and apple in talks for apple tv streaming service launching in april,1034,unrelated
spider burrowed through tourist stomach and up into his chest,1923,disagree
confirms earth will experience 6 days of total darkness in december fake news story goes viral,154,agree
accused boston marathon bomber severely injured in prison may never walk or talk again,962,unrelated
identity of isis terrorist known as john reportedly revealed,2033,unrelated
banksy real identity revealed is the same hoax from last year,1739,agree
british aid worker confirmed murdered by isis,882,unrelated
gateway pundit,2327,discuss
woman detained in lebanon is not wife iraq says,1468,agree
kidnapped nigerian schoolgirls government claims ceasefire deal with boko haram that will bring missing girls home,1003,unrelated
no that high school kid did make 72 million trading stocks,2132,unrelated
soon marijuana may lead to ticket not arrest in new york,47,discuss
vandals add rude paint job to bugatti but luckily for the owner it all turned out to be a hoax,615,unrelated
boko haram denies nigeria claim,2463,discuss
no robert plant did rip up an 800 million contract,295,agree
korea kim has leg injury but in control,570,unrelated
isil beheads american photojournalist in iraq,608,discuss
tropical spider burrows under man skin through scar,1500,unrelated
boko haram ceasefire ignored as violence flares in borno state,1681,discuss
nbc tom brokaw reportedly wants brian williams fired over fabricated iraq helicopter story,1545,unrelated
would you take a bite out of the world oldest burger men keep quarter pounder they bought 20 years ago for a friend who never showed up to meet them,1196,unrelated
net extra catholic priest claims god is a female,1014,agree
rumor debunked robots are not patrolling microsoft campus,633,agree
luke somers dies in rescue attempt sister says yemeni defense ministry says unnamed us hostage freed,56,unrelated
christian bale exits steve jobs movie exclusive,1658,unrelated
microsoft tried out robot security guards on its silicon valley campus,2327,unrelated
report christian bale just bailed on the steve jobs movie,1157,discuss
islamic militants post video claiming to show beheading of journalist,132,unrelated
insurgents killed in nigeria despite alleged truce with boko haram,1896,discuss
texas turkey farm contaminated with ebola over holiday turkeys infected,2344,unrelated
see it isis militants caught trying to cross border into texas congressman claims,625,unrelated
thanks uncle sam we have your weapons airdrop isis taunts america over intercepted weapons meant for kurds,2176,unrelated
report isis leader abu bakr assassinated in airstrike,394,discuss
fisherman lands 19 stone catfish which could be biggest in world to be hooked,2161,agree
rapist has penis severed by angry mob,1040,unrelated
who is michael ottawa shooter suspect identified by canadian officials,1251,unrelated
taylor lianne chandler michael phelps cougar girlfriend revealed,1337,unrelated
at cbs detroit fan site is enough to publish batmobile rumor,280,unrelated
nasa questions whether crater in nicaragua caused by meteorite,534,unrelated
seth rogen is woz,213,unrelated
that story about a catholic priest dying seeing god as a woman and coming back to life it almost definitely fake,1299,unrelated
experts more facts needed on purported audio recording of michael brown shooting,1481,unrelated
catholic priest dead for 48 minutes is miraculously revived his revelations about god are even more shocking,289,unrelated
student accidentally sets college on fire during fireworks proposal,1592,agree
planetary alignment on jan 4 2015 will decrease gravity for 5 minutes causing partial weightlessness,2248,unrelated
rumors of isis leader death debunked,1255,unrelated
instagram tribute to charlie hebdo victims not posted by artist,1120,unrelated
boko haram ceasefire ignored as violence flares in borno state,2045,unrelated
breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq,2296,unrelated
nigeria and boko haram ceasefire and girls release,459,unrelated
pope francis turns out not to have made pets in heaven comment,1905,disagree
british rapper a suspect in isis beheading,2295,unrelated
macaulay culkin has died despite what everyone is saying on facebook,759,agree
a husband breaks down in tears after lost voicemail message by his late wife is recovered,2406,unrelated
bali awry,181,unrelated
islamic state leader,2036,unrelated
contest leads to hospital stay,941,unrelated
no it not tiger woods selling an island in lake,965,disagree
why the gold apple watch edition must cost,816,unrelated
rapist has penis severed by angry mob,2106,unrelated
anna wintour is rat infestation at nyc office kim kardashian fault,367,unrelated
updated 11 men and 0 women on tonight espn domestic violence panel,373,unrelated
amazon first store said to open in manhattan,1934,unrelated
did kim take kim jong un role north korea ill health rumors are,1500,unrelated
islamic state leader family detained by lebanon officials say,703,discuss
us confirms death of somalia terror group leader,167,unrelated
durex is not making pumpkin spice condoms after all a hoax debunked,1175,unrelated
islamic state beheads missing american journalist james wright foley,1034,unrelated
spider burrows into australian man appendix scar video,724,unrelated
indian civil servant sacked sickie,2441,agree
batmobile was stolen cops,1338,unrelated
michael brown shooting audio caught on tape,2248,unrelated
breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq,1040,unrelated
biological warfare on the horizon isis soldiers may be infected with ebola,527,unrelated
moment michael brown was shot dead on audio recording fbi handed potentially damning tape of eleven shots being fired including final volley of shots,32,discuss
saudi fatwa banning snowmen triggers heated debate,26,unrelated
paul rudd is not the viral video hero who tackled a gay basher in dallas,487,unrelated
soldier gunman killed in shooting incident near canadian parliament,1089,agree
everyone chill banksy has not been arrested,1898,unrelated
update soldier gunman who died in ottawa rampage identified,205,unrelated
new audio shows michael brown was shot at 11 times,1435,unrelated
no islamic state militants have not been caught by border patrol,190,unrelated
report audio reveals pause between gunshots when michael brown was shot,1808,unrelated
canadian official identifies dead ottawa gunman as michael,2246,discuss
mystery woman behind the hands on the internet revealed former pornstar 5m a year unwrapping disney toys on youtube,1315,agree
apple macbook air details emerge device could be thinner lighter than current model,1362,discuss
jihadi john identity revealed as mohammed emwazi live,2033,unrelated
is militant john named as mohammed emwazi from london,472,unrelated
wife and son of isil leader abu bakr at lebanon border,1125,unrelated
islamic state militants allegedly used chlorine gas against iraqi security forces,1590,discuss
former pga tour player tiger woods suspended for drug test failure,2240,unrelated
zack snyder responds to fake stolen batmobile report,702,unrelated
ottawa investigates reports that isis has captured woman,1165,unrelated
priest who died for 48 minutes says he met god and she a woman,1720,unrelated
mum faces sophie choice as she tries to sell her son to fund daughter care,1358,unrelated
fidel castro dead yes he but the cuban leader is alive death rumors proven false,1832,unrelated
cnn broadcasts purported audio containing gunshots that felled michael brown leaders celebrities fill pews at teen funeral,346,unrelated
magic mushrooms found in buckingham palace by alan titchmarsh,1374,unrelated
video showing american journalist beheaded believed real officials and family say,2404,unrelated
canadian soldier shot at ottawa war memorial report,1744,unrelated
audio recording allegedly captures moment michael brown was shot,1832,unrelated
kim to open a new restaurant in scotland,1406,unrelated
new audio reveals pause in gunfire when michael brown was shot attorney,1818,agree
11 tripoli planes still missing sparks concerns,1958,agree
nypd to issue tickets instead of arrest for weed possession report says,775,unrelated
india rape crisis sees mob castrate alleged sex attacker in shocking scenes,2115,agree
michael phelps alleged girlfriend says she was born intersex,1849,unrelated
seth rogen reported to play woz in the upcoming steve jobs movie,1966,unrelated
how did a texas plumber truck end up with syrian rebels,2174,unrelated
nigeria announces truce with boko haram fate of schoolgirls unclear,992,unrelated
islamic state beheads missing american journalist james wright foley,2526,unrelated
scientists doubt that meteor caused crater in nicaragua,731,unrelated
christian bale in talks to play steve jobs in sony next biopic,2097,unrelated
nigeria says boko haram may lead to release of kidnapped girls,2045,unrelated
calm yourselves durex has not come out with a pumpkin spice condom,1212,unrelated
islamic state flying three jets in syria monitor,777,unrelated
abrams asks disney to move up wars the force awakens release date,2084,discuss
kim relying on wine after problems with trouser snake,213,unrelated
nigeria hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,discuss
former soldier says is used chemical weapons in kobani,1758,unrelated
north korean dictator kim to open restaurant in scotland,2132,unrelated
eyewitness says viral video of homeless man was staged,1681,unrelated
new audio shows michael brown was shot at 11 times,900,unrelated
meteorite strike in nicaragua puzzles experts,40,unrelated
hunt for owner who abandoned dog at train station,36,unrelated
met police denies reports of banksy arrest,949,agree
video marine saved by helmet after taliban sniper attack,488,agree
militant group says it killed american journalist in syria,2495,discuss
rare case seven bosnian girls aged 13 and 14 fall pregnant after school trip parents outraged after school cites neglect,821,unrelated
isis claims it kidnapped gill rosenberg the first western woman to fall into the group hands,1628,unrelated
what tbs seinfeld reruns tell us about the sorry state of america,2237,unrelated
islamic state claims to have beheaded american journalist,1385,unrelated
boko haram doubts after attacks reported in nigeria,1125,unrelated
us probing claims isis fighters seized airdropped weapons meant for kurds,2448,unrelated
meteorite mysterious boom in nicaragua,345,unrelated
michael slain ottawa shooter had criminal record in quebec,2087,unrelated
hope fades for girls release after boko haram breached,2463,discuss
isis cracks down on five confirmed ebola cases among fighters official,2045,unrelated
nasa questions whether crater in nicaragua caused by meteorite,1661,discuss
fears islamic state could launch ebola attack on britain after fighters virus,1899,unrelated
court orders probe into complaints of castration in religious sect,1048,unrelated
saudi arabian cleric issues fatwa against snowmen,35,unrelated
actor has his testicles stolen after meeting blonde woman at a bar,573,discuss
michael phelps alleged girlfriend says she was born intersex,618,unrelated
report possible audio tape of michael brown shooting,321,unrelated
amazon plans video streaming service ny post,887,unrelated
cbi registers conspiracy case against dera chief after claims 400 male followers were forcibly castrated,2336,discuss
shots heard in alleged brown shooting recording audio,1818,discuss
armed drones spotted flying over syria in possible hunt for isis leader,1509,discuss
oh hey paul rudd was one of the dallas airport homophobe heroes no big,119,unrelated
tourist wakes to find strange red trail on his stomach and discovers a spider has burrowed through his appendix scar and crawled under his skin while on holiday in bali,2045,unrelated
isis video america air dropped weapons now in our hands,2168,discuss
vice ceo throws down 300k on lavish vegas dinner,1547,unrelated
what glenn beck fears may be done with the 11 missing jets,176,unrelated
two gop congressmen say suspected terrorists caught crossing border,855,discuss
iphone 6 users encounter latest apple problem after,689,unrelated
once again the banksy is a giant hoax repeat a hoax,2342,unrelated
judicial watch farrell isis terrorists did cross mexican border,2132,unrelated
to open first physical store in manhattan dj,2477,unrelated
lynch mob castrates alleged rapist in rajasthan,2149,unrelated
vogue rat infestation disturbing new details,2064,agree
feminist aborts baby for being a boy shocked people do approve,1363,unrelated
return of the mac seth rogen in talks to star as apple steve wozniak in upcoming steve jobs biopic,115,unrelated
rebel leader killed in strike somali government,313,disagree
islamic militants post video claiming to show beheading of journalist,472,unrelated
video marine survives taliban sniper headshot thanks to helmet,2046,agree
new ios 8 bug can delete all of your icloud documents,139,unrelated
wildest apple watch rumor yet apps at launch,986,unrelated
stopped shooter on parliament hill,1568,unrelated
weather reporter caught writing his name in the snow was not ready to go on camera updated,975,disagree
cheese addiction breaks kim ankles,2210,unrelated
popwatch teenager fights for the right to be recognized as teletubbies smiling,2081,unrelated
isis cracks down on five confirmed ebola cases among fighters official,1438,unrelated
media outlets identify john,2531,unrelated
abrams asks disney to move up wars the force awakens release date,808,unrelated
iphone game developer quits job by hiding the greatest letter of resignation ever inside his game,125,unrelated
lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree
fidel castro death watch rumors heat up cuba denies,1401,discuss
christian bale wo play steve jobs after all,687,unrelated
suspected meteorite leaves crater in managua is linked to asteroid,1627,unrelated
kim dine with me porky president kim to open uk restaurant serving dog,2290,unrelated
canadian soldier shot at ottawa war memorial report,2307,unrelated
ate through the ceilings and pooped on the keyboards rats are over vogue new world trade center office and anna wintour longer wants to work there,320,unrelated
mexico prosecutor students not in 1st mass graves,1948,unrelated
audio recording allegedly captures moment michael brown was shot,1720,unrelated
in moscow police are looking for a felon cut the male genitals,271,unrelated
lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,unrelated
isis leader abu bakr and son detained in lebanon,254,unrelated
who investigates media reports isis fighters contracted ebola,1574,unrelated
rumor robert plant ripped up 800 million contract to reunite led zeppelin called,2133,unrelated
michelle obama face blurred by saudi state television,1242,unrelated
more than 200 kidnapped nigerian girls to be released after deal reached with boko haram,2530,discuss
islamic state militants claim to have beheaded us journalist james wright foley,1982,unrelated
islamic state killer john named as mohammed emwazi,1107,unrelated
brian williams demands apology from social media over erroneous urination reports video,775,unrelated
pentagon isis seized materials airdropped to kurds,1627,unrelated
new policy could reduce marijuana possession arrests,296,unrelated
did nbc nightly news go live to a man who was taking a piss,1786,unrelated
espn domestic violence panel is missing something important,1020,unrelated
boko haram denies it has agreed ceasefire,381,unrelated
islamic state claims to have beheaded american journalist,2047,discuss
who is michael ottawa shooter suspect identified by canadian officials,2302,unrelated
audio recording of michael brown being gunned down was made at the time he was killed app company appears to confirm tape of eleven bullets being fired including final volley of shots,844,unrelated
islamic state releases video apparently showing the beheading of missing us journalist james foley,1471,discuss
kurds deny gill rosenberg was in kobane,1949,unrelated
tropical spider burrowed under man skin through appendix scar and lived there for three days,214,unrelated
after giving a homeless man 100 this guy secretly filmed him,2061,agree
cook said to confirm apple watch is showerproof lasts a day,1985,unrelated
lynch mob chop man penis off after catching him allegedly trying to rape teenager,1476,discuss
russian yeti or bigfoot hoax new footage sparks debate,1718,unrelated
tropical spider burrowed under bali tourist skin,2293,discuss
alleged audio of michael brown shooting has surfaced,1104,unrelated
high school student scores 72m playing the stock market,1987,discuss
mexico says missing students not found in first mass graves,1419,unrelated
boko haram denies ceasefire claim by nigeria government,1603,unrelated
british hostage david haines beheaded by islamic state terrorists,2206,agree
alleged ottawa gunman what we know so far about michael,1301,unrelated
see how this homeless man spends a hundred dollars and keep a tissue handy video,467,unrelated
jinny abdel bary uk rapper suspected in james foley killing reports,2045,unrelated
ottawa shooting soldier shot at canada national war memorial,2269,unrelated
woman ting su finds husband cheating with her own twin gets spectacular revenge,1058,agree
north korean leader kim not missing just having ankle surgery,1081,discuss
seth rogen reportedly nabs steve wozniak role in steve jobs filmsteve jobs iconic moments,1355,unrelated
police hunt wearing man who slaps shoppers for sneezing,678,unrelated
meteorite leaves crater in nicaragua capital,971,unrelated
does vogue new office have a rat infestation,639,unrelated
meteorite leaves crater in nicaraguan capital managua,1795,unrelated
james foley remembered as and tireless journalist,874,unrelated
homeless man receives 100 then shocks everyone with how he spends it,2492,unrelated
reports big bank hank of pioneering rap group sugarhill gang has died,2398,discuss
islamic state using bombs to terrorise victims,1720,unrelated
kim so fat from eating cheese that he has broken his ankles,2327,unrelated
first bendgate now it hairgate angry iphone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,unrelated
vice media chief said to pay for dinner for 30,2130,discuss
isis getting ebola,720,unrelated
tropical spider burrowed under man skin through appendix scar and lived there for three days,1602,discuss
apple watch may be powered by samsung processor,1658,unrelated
no saudi tv did not blur out images of michelle obama,1786,unrelated
north korean leader kim mystery illness actually two broken ankles newspaper says,1081,discuss
boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,unrelated
jeh johnson politicians should the flames of fear over isis ebola,666,agree
zack snyder makes fun of stolen batmobile rumor with new image,734,unrelated
video messaging service verifies timing of cnn audio recording,1299,unrelated
bombing had signed my death certificate missing us journalist james wright foley goes unflinching to his death as isis behead him in horrific video as a warning to obama,1093,discuss
more than 200 kidnapped nigerian girls to be released after deal reached with boko haram,1603,unrelated
despite ceasefire announcement new boko haram attacks reported,1541,unrelated
apple in talks to become launch partner for hbo now service,2306,unrelated
boko haram doubts after attacks reported in nigeria,1372,unrelated
passenger wears a hazmat suit to dulles airport,2489,unrelated
contest leads to hospital stay,2509,unrelated
woman spends entire week in kfc after getting dumped by her boyfriend,1805,unrelated
taliban member swapped by obama for bowe bergdahl tried to return to terror report,972,unrelated
obama murder of james foley the conscience of the entire world,2127,unrelated
has ebola infected isis militants in mosul,1778,discuss
watch isis claims to have captured airdropped weapons,1586,unrelated
isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq,1580,agree
christian bale wo play steve jobs,2455,discuss
thanks uncle sam we have your weapons airdrop isis taunts america over intercepted weapons meant for kurds,125,unrelated
video purports to show beheading of journalist by militants,2453,unrelated
6 islamist militants killed in us attack in somalia,511,unrelated
this letter to parents from a 1970s lego set contains an important message for gender equality,1726,unrelated
officials refute iraqi media reports that isis members have contracted ebola in mosul,2177,unrelated
islamic state training pilots in military jets monitors say,1115,discuss
could kim jong un open a restaurant in scotland,773,unrelated
cheeky vandals paint giant penis on bonnet of million bugatti veyron sportscar,2252,unrelated
nasa questions whether crater in nicaragua caused by meteorite,524,unrelated
expert casts doubt on bunbury man dylan thomas burrowing story,1864,discuss
soldier shot in ottawa at war memorial,1988,unrelated
macaulay culkin dead actor is victim of another death hoax,2022,unrelated
batman superman batmobile stolen,1528,discuss
did comcast get a man fired from his job for complaining about its service,1338,unrelated
video shows isil beheading of photojournalist james foley,694,discuss
isis claims it has us airdrop of weapons,1648,unrelated
that boko haram ceasefire in nigeria is a ceasefire,1125,unrelated
jinny abdel bary uk rapper suspected in james foley killing reports,2156,unrelated
comcast blocks tor,1403,disagree
elderly woman arrested for kidnapping neighbor cats making fur coats,1034,unrelated
james foley american journalist james wright foley beheaded in new isis video breaking news,139,unrelated
staff reporter,707,discuss
lebanon detains wife and son of,2337,disagree
reports isis fighters have contracted ebola are says iraqi health ministry,2025,discuss
kim broke both ankles and is hospitalized report claims,1854,discuss
new ios 8 bug can delete all of your icloud documents,2054,discuss
texas turkey farm contaminated with ebola over holiday turkeys infected,186,unrelated
the apple watch will debut by late march report,670,unrelated
robot security guards now patrolling microsoft silicon valley campus,2288,unrelated
dylan thomas finds tropical spider burrowed under skin,2175,unrelated
rats at vogue nyc offices watch your step anna wintour,2033,unrelated
boko haram denies it has agreed ceasefire,2403,discuss
a wanted man responded to a police facebook post that he would turn himself in,1693,unrelated
video purports to show beheading of journalist by militants,1471,discuss
aaron sorkin confirms christian bale will play steve jobs,2097,unrelated
isis unleash scorpion bombs in iraq,185,unrelated
spider burrows into australian man appendix scar video,1321,disagree
michael phelps alleged girlfriend says she was born intersex,645,unrelated
isil beheads american photojournalist in iraq,139,unrelated
kim yo jong kim sister takes control of north korea while brother gets treatment,465,unrelated
despite no ebola case in kansas city the rumor goes viral,1943,agree
do all settings in ios 8 unless you want to lose your icloud files,1155,unrelated
soldier shot in ottawa at war memorial,2269,unrelated
rumor gold apple watch edition priced up to steel version at 500 will debut on 14,731,unrelated
the condom is just a figment of your own gross imagination,698,unrelated
canadian woman by isis in syria says she is actually fine and still fighting the jihadists despite kidnap reports,513,unrelated
more than 200 kidnapped nigerian girls to be released after deal reached with boko haram,1883,unrelated
this woman is wrongly being called a sexual predator after her private sex tape was used for a hoax,1734,unrelated
jihadi john unmasked islamic state killer named as west londoner mohammed emwazi,1780,discuss
pumpkin spice condoms could be the only thing to save the world from basic children,1400,discuss
north korean leader kim jong un had ankle surgery report says,1349,unrelated
bunbury local discovered a spider had burrowed under his skin on bali holiday,859,unrelated
no banksy has not been arrested sigh,1020,unrelated
dna tests prove lebanon is holding isis chief and daughter after they were caught with fake passports,1004,discuss
cnn airs alleged audio from michael brown shooting,1605,discuss
guru who ordered 400 followers to be castrated they could be closer to god is investigated for grievous bodily harm in india,1011,unrelated
guantanamo detainee freed in bowe bergdahl swap to terrorism,472,unrelated
ubs survey finds 10 of consumers want a smartwatch expects 24m apple watch sales in fiscal 2015,568,unrelated
man has his penis cut off by angry mob after rape of teenager,36,unrelated
bugatti veyron vandalized with penis graffiti viral photo is what it seems,1148,agree
has kim sister taken over north korea dictator fails to show for key communist event but does send a nice flower basket instead,81,unrelated
north korea leader kim jong un is still in charge source,1580,unrelated
former pga tour player tiger woods suspended for drug test failure,43,unrelated
net extra catholic priest claims god is a female,2492,unrelated
isis murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him,2352,unrelated
pictured libyan islamist rebels pose with planes seized from tripoli airport as officials warn they could be used to carry out terrorist attack on anniversary,1489,unrelated
alleged audio of michael brown shooting released,776,unrelated
boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,unrelated
man who skipped work for 24 years is finally fired,1951,agree
big bank hank of the sugarhill gang is dead at 57,1458,unrelated
isis claims to behead us journalist,1347,unrelated
michael phelps alleged girlfriend says she was born intersex,1349,agree
nigerians doubtful of girls release after boko haram breached,1821,discuss
islamic state in video titled a message to america beheads american journalist james wright foley who was kidnapped in 2012,826,unrelated
viral video of homeless man spending 100 on food for other homeless was faked witness says,344,unrelated
kim the name kim,1034,unrelated
scientists doubt that meteor caused crater in nicaragua,2475,agree
fence jumper made it deeper into the white house than secret service claims,887,unrelated
boko haram denies truce to release kidnapped schoolgirls,171,unrelated
journalist james wright foley reportedly beheaded by isis,984,unrelated
saudi cleric condemns snowmen as,1950,unrelated
islamic state may have fighter jets now after seizing migs,487,unrelated
absent from duty for 25 years cpwd official dismissed,1242,unrelated
did a meteorite impact in nicaragua over the weekend,373,unrelated
meteorite strike in nicaragua puzzles experts,715,discuss
fears journalist james wright foley beheaded by islamic state jihadists in to united states,2287,unrelated
zack snyder makes fun of stolen batmobile rumor with new image,964,unrelated
small red book among finds in boston time capsule,690,unrelated
kurds fear isis use of chemical weapon in kobani,1253,unrelated
new audio shows michael brown was shot at 11 times,1569,unrelated
dhs rebuffs congressman claim isis infiltrating southern border,2367,disagree
luke somers in failed rescue attempt in yemen,298,unrelated
anna wintour is rat infestation at nyc office kim kardashian fault,1737,unrelated
no there are any ebola cases in iraq,2003,discuss
urgent isis kills 300 iraqi soldiers by chlorine gas attack in saqlawiyah,969,agree
this letter to parents from a 1970s lego set contains an important message for gender equality,311,unrelated
ferguson riots audio may have captured michael brown shooting,1803,unrelated
isis claims an american hostage kayla mueller died in airstrike in syria,2260,unrelated
did paul rudd help tackle that dallas airport,1844,unrelated
was nbc meteorologist mike seidel peeing in the snow on camera a testy brian williams explains,1968,discuss
canadian soldier shot at ottawa war memorial report,373,unrelated
isis extremists claim to behead british hostage david haines,1528,unrelated
boko haram agrees to ceasefire release of school girls,2356,discuss
led zeppelin robert plant ripped up a 924 million reunion contract,2223,unrelated
sun baby fans freak out over jess smith 19,1009,unrelated
nigeria boko haram reach ceasefire deal kidnapped girls to go free official says,1439,unrelated
boko haram denies leader says he married off kidnapped girls,2096,unrelated
north korea leader kim is still in charge has injured leg source,1933,unrelated
report 4 isis terrorists caught at southern border in 36 hrs,570,unrelated
rumor gold apple watch edition priced up to steel version at 500 will debut on 14,2188,discuss
isis reportedly beheads journalist james wright foley on camera,2287,unrelated
missing planes,1958,discuss
islamic state militants claim to behead missing american journalist,1372,unrelated
isis militants allegedly contracted ebola,1905,unrelated
boko haram ceasefire ignored as violence flares in borno state,2139,disagree
report missing libyan jetliners raise fears of suicide airliner attacks on,1699,unrelated
batman set to play steve jobs in upcoming biopic,1846,disagree
tropical spider under man skin through scar video report,1888,unrelated
isis getting ebola,1013,unrelated
obama denounces james foley execution the entire world is appalled,1547,unrelated
report alleged new audio of michael brown shooting,2235,discuss
apple watch to feature reserve mode prototypes disguised as samsung watches,2423,unrelated
video showing american journalist beheaded believed real officials and family say,2388,discuss
report former baseball star jose canseco accidentally shot at home,2078,unrelated
luke somers in failed rescue attempt in yemen,401,unrelated
